Cell,Run,Barcode,Species,CellType,s4U,Time,ActD,Phase,IAA,Stage
20220719_K562_1.C01.K562_s4U_50uM_15min,20220719_K562_1,2,Human,K562,50,0.25,,,,
20220719_K562_1.C02.K562_s4U_50uM_15min,20220719_K562_1,3,Human,K562,50,0.25,,,,
20220719_K562_1.C03.K562_s4U_50uM_15min,20220719_K562_1,4,Human,K562,50,0.25,,,,
20220719_K562_1.C04.K562_s4U_50uM_15min,20220719_K562_1,5,Human,K562,50,0.25,,,,
20220719_K562_1.C05.K562_s4U_50uM_15min,20220719_K562_1,7,Human,K562,50,0.25,,,,
20220719_K562_1.C06.K562_s4U_50uM_15min,20220719_K562_1,8,Human,K562,50,0.25,,,,
20220719_K562_1.C07.K562_s4U_50uM_15min,20220719_K562_1,11,Human,K562,50,0.25,,,,
20220719_K562_1.C08.K562_s4U_50uM_15min,20220719_K562_1,12,Human,K562,50,0.25,,,,
20220719_K562_1.C09.K562_s4U_50uM_15min,20220719_K562_1,13,Human,K562,50,0.25,,,,
20220719_K562_1.C10.K562_s4U_50uM_15min,20220719_K562_1,14,Human,K562,50,0.25,,,,
20220719_K562_1.C11.K562_s4U_50uM_15min,20220719_K562_1,18,Human,K562,50,0.25,,,,
20220719_K562_1.C12.K562_s4U_50uM_15min,20220719_K562_1,19,Human,K562,50,0.25,,,,
20220719_K562_1.C13.K562_s4U_50uM_15min,20220719_K562_1,20,Human,K562,50,0.25,,,,
20220719_K562_1.C14.K562_s4U_50uM_15min,20220719_K562_1,21,Human,K562,50,0.25,,,,
20220719_K562_1.C15.K562_s4U_50uM_15min,20220719_K562_1,23,Human,K562,50,0.25,,,,
20220719_K562_1.C16.K562_s4U_50uM_15min,20220719_K562_1,24,Human,K562,50,0.25,,,,
20220719_K562_1.C17.K562_s4U_50uM_15min,20220719_K562_1,25,Human,K562,50,0.25,,,,
20220719_K562_1.C18.K562_s4U_50uM_15min,20220719_K562_1,26,Human,K562,50,0.25,,,,
20220719_K562_1.C19.K562_s4U_50uM_15min,20220719_K562_1,27,Human,K562,50,0.25,,,,
20220719_K562_1.C20.K562_s4U_50uM_15min,20220719_K562_1,28,Human,K562,50,0.25,,,,
20220719_K562_1.C21.K562_s4U_50uM_15min,20220719_K562_1,29,Human,K562,50,0.25,,,,
20220719_K562_1.C22.K562_s4U_50uM_15min,20220719_K562_1,30,Human,K562,50,0.25,,,,
20220719_K562_1.C23.K562_s4U_50uM_15min,20220719_K562_1,31,Human,K562,50,0.25,,,,
20220719_K562_1.C24.K562_s4U_50uM_15min,20220719_K562_1,32,Human,K562,50,0.25,,,,
20220719_K562_1.C25.K562_s4U_50uM_15min,20220719_K562_1,33,Human,K562,50,0.25,,,,
20220719_K562_1.C26.K562_s4U_50uM_15min,20220719_K562_1,34,Human,K562,50,0.25,,,,
20220719_K562_1.C27.K562_s4U_50uM_15min,20220719_K562_1,35,Human,K562,50,0.25,,,,
20220719_K562_1.C28.K562_s4U_50uM_15min,20220719_K562_1,36,Human,K562,50,0.25,,,,
20220719_K562_1.C29.K562_s4U_50uM_15min,20220719_K562_1,37,Human,K562,50,0.25,,,,
20220719_K562_1.C30.K562_s4U_50uM_15min,20220719_K562_1,38,Human,K562,50,0.25,,,,
20220719_K562_1.C31.K562_s4U_50uM_15min,20220719_K562_1,39,Human,K562,50,0.25,,,,
20220719_K562_1.C32.K562_s4U_50uM_15min,20220719_K562_1,40,Human,K562,50,0.25,,,,
20220719_K562_1.C33.K562_s4U_50uM_30min,20220719_K562_1,42,Human,K562,50,0.5,,,,
20220719_K562_1.C34.K562_s4U_50uM_30min,20220719_K562_1,43,Human,K562,50,0.5,,,,
20220719_K562_1.C35.K562_s4U_50uM_30min,20220719_K562_1,44,Human,K562,50,0.5,,,,
20220719_K562_1.C36.K562_s4U_50uM_30min,20220719_K562_1,45,Human,K562,50,0.5,,,,
20220719_K562_1.C37.K562_s4U_50uM_30min,20220719_K562_1,46,Human,K562,50,0.5,,,,
20220719_K562_1.C38.K562_s4U_50uM_30min,20220719_K562_1,47,Human,K562,50,0.5,,,,
20220719_K562_1.C39.K562_s4U_50uM_30min,20220719_K562_1,48,Human,K562,50,0.5,,,,
20220719_K562_1.C40.K562_s4U_50uM_30min,20220719_K562_1,49,Human,K562,50,0.5,,,,
20220719_K562_1.C41.K562_s4U_50uM_30min,20220719_K562_1,50,Human,K562,50,0.5,,,,
20220719_K562_1.C42.K562_s4U_50uM_30min,20220719_K562_1,51,Human,K562,50,0.5,,,,
20220719_K562_1.C43.K562_s4U_50uM_30min,20220719_K562_1,52,Human,K562,50,0.5,,,,
20220719_K562_1.C44.K562_s4U_50uM_30min,20220719_K562_1,53,Human,K562,50,0.5,,,,
20220719_K562_1.C45.K562_s4U_50uM_30min,20220719_K562_1,54,Human,K562,50,0.5,,,,
20220719_K562_1.C46.K562_s4U_50uM_30min,20220719_K562_1,55,Human,K562,50,0.5,,,,
20220719_K562_1.C47.K562_s4U_50uM_30min,20220719_K562_1,56,Human,K562,50,0.5,,,,
20220719_K562_1.C48.K562_s4U_50uM_30min,20220719_K562_1,57,Human,K562,50,0.5,,,,
20220719_K562_1.C49.K562_s4U_50uM_30min,20220719_K562_1,58,Human,K562,50,0.5,,,,
20220719_K562_1.C50.K562_s4U_50uM_30min,20220719_K562_1,59,Human,K562,50,0.5,,,,
20220719_K562_1.C51.K562_s4U_50uM_30min,20220719_K562_1,60,Human,K562,50,0.5,,,,
20220719_K562_1.C52.K562_s4U_50uM_30min,20220719_K562_1,61,Human,K562,50,0.5,,,,
20220719_K562_1.C53.K562_s4U_50uM_30min,20220719_K562_1,62,Human,K562,50,0.5,,,,
20220719_K562_1.C54.K562_s4U_50uM_30min,20220719_K562_1,63,Human,K562,50,0.5,,,,
20220719_K562_1.C55.K562_s4U_50uM_30min,20220719_K562_1,64,Human,K562,50,0.5,,,,
20220719_K562_1.C56.K562_s4U_50uM_30min,20220719_K562_1,65,Human,K562,50,0.5,,,,
20220719_K562_1.C57.K562_s4U_50uM_30min,20220719_K562_1,67,Human,K562,50,0.5,,,,
20220719_K562_1.C58.K562_s4U_50uM_30min,20220719_K562_1,68,Human,K562,50,0.5,,,,
20220719_K562_1.C59.K562_s4U_50uM_30min,20220719_K562_1,69,Human,K562,50,0.5,,,,
20220719_K562_1.C60.K562_s4U_50uM_30min,20220719_K562_1,70,Human,K562,50,0.5,,,,
20220719_K562_1.C61.K562_s4U_50uM_30min,20220719_K562_1,71,Human,K562,50,0.5,,,,
20220719_K562_1.C62.K562_s4U_50uM_30min,20220719_K562_1,72,Human,K562,50,0.5,,,,
20220719_K562_1.C63.K562_s4U_50uM_30min,20220719_K562_1,73,Human,K562,50,0.5,,,,
20220719_K562_1.C64.K562_s4U_50uM_30min,20220719_K562_1,75,Human,K562,50,0.5,,,,
20220719_K562_1.C65.K562_s4U_50uM_30min,20220719_K562_1,76,Human,K562,50,0.5,,,,
20220719_K562_1.C66.K562_s4U_50uM_30min,20220719_K562_1,77,Human,K562,50,0.5,,,,
20220719_K562_1.C67.K562_s4U_50uM_30min,20220719_K562_1,78,Human,K562,50,0.5,,,,
20220719_K562_1.C68.K562_s4U_50uM_30min,20220719_K562_1,79,Human,K562,50,0.5,,,,
20220719_K562_1.C69.K562_s4U_50uM_30min,20220719_K562_1,80,Human,K562,50,0.5,,,,
20220719_K562_1.C70.K562_s4U_50uM_30min,20220719_K562_1,81,Human,K562,50,0.5,,,,
20220719_K562_1.C71.K562_s4U_50uM_30min,20220719_K562_1,82,Human,K562,50,0.5,,,,
20220719_K562_1.C72.K562_s4U_50uM_30min,20220719_K562_1,83,Human,K562,50,0.5,,,,
20220719_K562_1.C73.K562_s4U_50uM_30min,20220719_K562_1,84,Human,K562,50,0.5,,,,
20220719_K562_1.C74.K562_s4U_50uM_30min,20220719_K562_1,85,Human,K562,50,0.5,,,,
20220719_K562_1.C75.K562_s4U_50uM_30min,20220719_K562_1,86,Human,K562,50,0.5,,,,
20220719_K562_1.C76.K562_s4U_50uM_30min,20220719_K562_1,87,Human,K562,50,0.5,,,,
20220719_K562_1.C77.K562_s4U_50uM_30min,20220719_K562_1,88,Human,K562,50,0.5,,,,
20220719_K562_1.C78.K562_s4U_50uM_30min,20220719_K562_1,90,Human,K562,50,0.5,,,,
20220719_K562_1.C79.K562_s4U_50uM_30min,20220719_K562_1,91,Human,K562,50,0.5,,,,
20220719_K562_1.C80.K562_s4U_50uM_30min,20220719_K562_1,92,Human,K562,50,0.5,,,,
20220719_K562_1.C81.K562_s4U_50uM_30min,20220719_K562_1,93,Human,K562,50,0.5,,,,
20220719_K562_1.C82.K562_s4U_50uM_30min,20220719_K562_1,94,Human,K562,50,0.5,,,,
20220719_K562_1.C83.K562_s4U_50uM_30min,20220719_K562_1,96,Human,K562,50,0.5,,,,
20220719_K562_2.C01.K562_s4U_50uM_60min,20220719_K562_2,49,Human,K562,50,1.0,,,,
20220719_K562_2.C02.K562_s4U_50uM_60min,20220719_K562_2,51,Human,K562,50,1.0,,,,
20220719_K562_2.C03.K562_s4U_50uM_60min,20220719_K562_2,52,Human,K562,50,1.0,,,,
20220719_K562_2.C04.K562_s4U_50uM_60min,20220719_K562_2,53,Human,K562,50,1.0,,,,
20220719_K562_2.C05.K562_s4U_50uM_60min,20220719_K562_2,54,Human,K562,50,1.0,,,,
20220719_K562_2.C06.K562_s4U_50uM_60min,20220719_K562_2,55,Human,K562,50,1.0,,,,
20220719_K562_2.C07.K562_s4U_50uM_60min,20220719_K562_2,56,Human,K562,50,1.0,,,,
20220719_K562_2.C08.K562_s4U_50uM_60min,20220719_K562_2,57,Human,K562,50,1.0,,,,
20220719_K562_2.C09.K562_s4U_50uM_60min,20220719_K562_2,58,Human,K562,50,1.0,,,,
20220719_K562_2.C10.K562_s4U_50uM_60min,20220719_K562_2,59,Human,K562,50,1.0,,,,
20220719_K562_2.C11.K562_s4U_50uM_60min,20220719_K562_2,60,Human,K562,50,1.0,,,,
20220719_K562_2.C12.K562_s4U_50uM_60min,20220719_K562_2,61,Human,K562,50,1.0,,,,
20220719_K562_2.C13.K562_s4U_50uM_60min,20220719_K562_2,62,Human,K562,50,1.0,,,,
20220719_K562_2.C14.K562_s4U_50uM_60min,20220719_K562_2,63,Human,K562,50,1.0,,,,
20220719_K562_2.C15.K562_s4U_50uM_60min,20220719_K562_2,64,Human,K562,50,1.0,,,,
20220719_K562_2.C16.K562_s4U_50uM_60min,20220719_K562_2,65,Human,K562,50,1.0,,,,
20220719_K562_2.C17.K562_s4U_50uM_60min,20220719_K562_2,66,Human,K562,50,1.0,,,,
20220719_K562_2.C18.K562_s4U_50uM_60min,20220719_K562_2,67,Human,K562,50,1.0,,,,
20220719_K562_2.C19.K562_s4U_50uM_60min,20220719_K562_2,68,Human,K562,50,1.0,,,,
20220719_K562_2.C20.K562_s4U_50uM_60min,20220719_K562_2,69,Human,K562,50,1.0,,,,
20220719_K562_2.C21.K562_s4U_50uM_60min,20220719_K562_2,70,Human,K562,50,1.0,,,,
20220719_K562_2.C22.K562_s4U_50uM_60min,20220719_K562_2,71,Human,K562,50,1.0,,,,
20220719_K562_2.C23.K562_s4U_50uM_60min,20220719_K562_2,72,Human,K562,50,1.0,,,,
20220719_K562_2.C24.K562_s4U_50uM_60min,20220719_K562_2,73,Human,K562,50,1.0,,,,
20220719_K562_2.C25.K562_s4U_50uM_60min,20220719_K562_2,74,Human,K562,50,1.0,,,,
20220719_K562_2.C26.K562_s4U_50uM_60min,20220719_K562_2,75,Human,K562,50,1.0,,,,
20220719_K562_2.C27.K562_s4U_50uM_60min,20220719_K562_2,76,Human,K562,50,1.0,,,,
20220719_K562_2.C28.K562_s4U_50uM_60min,20220719_K562_2,81,Human,K562,50,1.0,,,,
20220719_K562_2.C29.K562_s4U_50uM_60min,20220719_K562_2,82,Human,K562,50,1.0,,,,
20220719_K562_2.C30.K562_s4U_50uM_60min,20220719_K562_2,83,Human,K562,50,1.0,,,,
20220719_K562_2.C31.K562_s4U_50uM_60min,20220719_K562_2,84,Human,K562,50,1.0,,,,
20220719_K562_2.C32.K562_s4U_50uM_60min,20220719_K562_2,85,Human,K562,50,1.0,,,,
20220719_K562_2.C33.K562_s4U_50uM_60min,20220719_K562_2,86,Human,K562,50,1.0,,,,
20220719_K562_2.C34.K562_s4U_50uM_60min,20220719_K562_2,87,Human,K562,50,1.0,,,,
20220719_K562_2.C35.K562_s4U_50uM_60min,20220719_K562_2,88,Human,K562,50,1.0,,,,
20220719_K562_2.C36.K562_s4U_50uM_60min,20220719_K562_2,90,Human,K562,50,1.0,,,,
20220719_K562_2.C37.K562_s4U_50uM_60min,20220719_K562_2,91,Human,K562,50,1.0,,,,
20220719_K562_2.C38.K562_s4U_50uM_60min,20220719_K562_2,92,Human,K562,50,1.0,,,,
20220719_K562_2.C39.K562_s4U_50uM_60min,20220719_K562_2,93,Human,K562,50,1.0,,,,
20220719_K562_2.C40.K562_s4U_50uM_60min,20220719_K562_2,94,Human,K562,50,1.0,,,,
20220719_K562_2.C41.K562_s4U_50uM_60min,20220719_K562_2,96,Human,K562,50,1.0,,,,
20220719_K562_2.C42.K562_s4U_50uM_120min,20220719_K562_2,1,Human,K562,50,2.0,,,,
20220719_K562_2.C43.K562_s4U_50uM_120min,20220719_K562_2,3,Human,K562,50,2.0,,,,
20220719_K562_2.C44.K562_s4U_50uM_120min,20220719_K562_2,4,Human,K562,50,2.0,,,,
20220719_K562_2.C45.K562_s4U_50uM_120min,20220719_K562_2,5,Human,K562,50,2.0,,,,
20220719_K562_2.C46.K562_s4U_50uM_120min,20220719_K562_2,6,Human,K562,50,2.0,,,,
20220719_K562_2.C47.K562_s4U_50uM_120min,20220719_K562_2,7,Human,K562,50,2.0,,,,
20220719_K562_2.C48.K562_s4U_50uM_120min,20220719_K562_2,8,Human,K562,50,2.0,,,,
20220719_K562_2.C49.K562_s4U_50uM_120min,20220719_K562_2,9,Human,K562,50,2.0,,,,
20220719_K562_2.C50.K562_s4U_50uM_120min,20220719_K562_2,11,Human,K562,50,2.0,,,,
20220719_K562_2.C51.K562_s4U_50uM_120min,20220719_K562_2,12,Human,K562,50,2.0,,,,
20220719_K562_2.C52.K562_s4U_50uM_120min,20220719_K562_2,13,Human,K562,50,2.0,,,,
20220719_K562_2.C53.K562_s4U_50uM_120min,20220719_K562_2,14,Human,K562,50,2.0,,,,
20220719_K562_2.C54.K562_s4U_50uM_120min,20220719_K562_2,16,Human,K562,50,2.0,,,,
20220719_K562_2.C55.K562_s4U_50uM_120min,20220719_K562_2,17,Human,K562,50,2.0,,,,
20220719_K562_2.C56.K562_s4U_50uM_120min,20220719_K562_2,18,Human,K562,50,2.0,,,,
20220719_K562_2.C57.K562_s4U_50uM_120min,20220719_K562_2,19,Human,K562,50,2.0,,,,
20220719_K562_2.C58.K562_s4U_50uM_120min,20220719_K562_2,20,Human,K562,50,2.0,,,,
20220719_K562_2.C59.K562_s4U_50uM_120min,20220719_K562_2,21,Human,K562,50,2.0,,,,
20220719_K562_2.C60.K562_s4U_50uM_120min,20220719_K562_2,22,Human,K562,50,2.0,,,,
20220719_K562_2.C61.K562_s4U_50uM_120min,20220719_K562_2,23,Human,K562,50,2.0,,,,
20220719_K562_2.C62.K562_s4U_50uM_120min,20220719_K562_2,25,Human,K562,50,2.0,,,,
20220719_K562_2.C63.K562_s4U_50uM_120min,20220719_K562_2,26,Human,K562,50,2.0,,,,
20220719_K562_2.C64.K562_s4U_50uM_120min,20220719_K562_2,27,Human,K562,50,2.0,,,,
20220719_K562_2.C65.K562_s4U_50uM_120min,20220719_K562_2,28,Human,K562,50,2.0,,,,
20220719_K562_2.C66.K562_s4U_50uM_120min,20220719_K562_2,29,Human,K562,50,2.0,,,,
20220719_K562_2.C67.K562_s4U_50uM_120min,20220719_K562_2,30,Human,K562,50,2.0,,,,
20220719_K562_2.C68.K562_s4U_50uM_120min,20220719_K562_2,31,Human,K562,50,2.0,,,,
20220719_K562_2.C69.K562_s4U_50uM_120min,20220719_K562_2,32,Human,K562,50,2.0,,,,
20220719_K562_2.C70.K562_s4U_50uM_120min,20220719_K562_2,33,Human,K562,50,2.0,,,,
20220719_K562_2.C71.K562_s4U_50uM_120min,20220719_K562_2,34,Human,K562,50,2.0,,,,
20220719_K562_2.C72.K562_s4U_50uM_120min,20220719_K562_2,35,Human,K562,50,2.0,,,,
20220719_K562_2.C73.K562_s4U_50uM_120min,20220719_K562_2,36,Human,K562,50,2.0,,,,
20220719_K562_2.C74.K562_s4U_50uM_120min,20220719_K562_2,37,Human,K562,50,2.0,,,,
20220719_K562_2.C75.K562_s4U_50uM_120min,20220719_K562_2,38,Human,K562,50,2.0,,,,
20220719_K562_2.C76.K562_s4U_50uM_120min,20220719_K562_2,39,Human,K562,50,2.0,,,,
20220719_K562_2.C77.K562_s4U_50uM_120min,20220719_K562_2,40,Human,K562,50,2.0,,,,
20220719_K562_2.C78.K562_s4U_50uM_120min,20220719_K562_2,41,Human,K562,50,2.0,,,,
20220719_K562_2.C79.K562_s4U_50uM_120min,20220719_K562_2,42,Human,K562,50,2.0,,,,
20220719_K562_2.C80.K562_s4U_50uM_120min,20220719_K562_2,43,Human,K562,50,2.0,,,,
20220719_K562_2.C81.K562_s4U_50uM_120min,20220719_K562_2,44,Human,K562,50,2.0,,,,
20220719_K562_2.C82.K562_s4U_50uM_120min,20220719_K562_2,45,Human,K562,50,2.0,,,,
20220719_K562_2.C83.K562_s4U_50uM_120min,20220719_K562_2,46,Human,K562,50,2.0,,,,
20220719_K562_2.C84.K562_s4U_50uM_120min,20220719_K562_2,47,Human,K562,50,2.0,,,,
20220719_K562_2.C85.K562_s4U_50uM_120min,20220719_K562_2,48,Human,K562,50,2.0,,,,
20220719_K562_3.C01.K562_s4U_0uM_180min,20220719_K562_3,2,Human,K562,0,3.0,,,,
20220719_K562_3.C02.K562_s4U_0uM_180min,20220719_K562_3,3,Human,K562,0,3.0,,,,
20220719_K562_3.C03.K562_s4U_0uM_180min,20220719_K562_3,5,Human,K562,0,3.0,,,,
20220719_K562_3.C04.K562_s4U_0uM_180min,20220719_K562_3,7,Human,K562,0,3.0,,,,
20220719_K562_3.C05.K562_s4U_0uM_180min,20220719_K562_3,9,Human,K562,0,3.0,,,,
20220719_K562_3.C06.K562_s4U_0uM_180min,20220719_K562_3,11,Human,K562,0,3.0,,,,
20220719_K562_3.C07.K562_s4U_0uM_180min,20220719_K562_3,12,Human,K562,0,3.0,,,,
20220719_K562_3.C08.K562_s4U_0uM_180min,20220719_K562_3,13,Human,K562,0,3.0,,,,
20220719_K562_3.C09.K562_s4U_0uM_180min,20220719_K562_3,14,Human,K562,0,3.0,,,,
20220719_K562_3.C10.K562_s4U_0uM_180min,20220719_K562_3,16,Human,K562,0,3.0,,,,
20220719_K562_3.C11.K562_s4U_0uM_180min,20220719_K562_3,18,Human,K562,0,3.0,,,,
20220719_K562_3.C12.K562_s4U_0uM_180min,20220719_K562_3,19,Human,K562,0,3.0,,,,
20220719_K562_3.C13.K562_s4U_0uM_180min,20220719_K562_3,20,Human,K562,0,3.0,,,,
20220719_K562_3.C14.K562_s4U_0uM_180min,20220719_K562_3,21,Human,K562,0,3.0,,,,
20220719_K562_3.C15.K562_s4U_0uM_180min,20220719_K562_3,22,Human,K562,0,3.0,,,,
20220719_K562_3.C16.K562_s4U_0uM_180min,20220719_K562_3,23,Human,K562,0,3.0,,,,
20220719_K562_3.C17.K562_s4U_0uM_180min,20220719_K562_3,24,Human,K562,0,3.0,,,,
20220719_K562_3.C18.K562_s4U_0uM_180min,20220719_K562_3,25,Human,K562,0,3.0,,,,
20220719_K562_3.C19.K562_s4U_0uM_180min,20220719_K562_3,26,Human,K562,0,3.0,,,,
20220719_K562_3.C20.K562_s4U_0uM_180min,20220719_K562_3,27,Human,K562,0,3.0,,,,
20220719_K562_3.C21.K562_s4U_0uM_180min,20220719_K562_3,28,Human,K562,0,3.0,,,,
20220719_K562_3.C22.K562_s4U_0uM_180min,20220719_K562_3,30,Human,K562,0,3.0,,,,
20220719_K562_3.C23.K562_s4U_0uM_180min,20220719_K562_3,31,Human,K562,0,3.0,,,,
20220719_K562_3.C24.K562_s4U_0uM_180min,20220719_K562_3,32,Human,K562,0,3.0,,,,
20220719_K562_3.C25.K562_s4U_0uM_180min,20220719_K562_3,33,Human,K562,0,3.0,,,,
20220719_K562_3.C26.K562_s4U_0uM_180min,20220719_K562_3,34,Human,K562,0,3.0,,,,
20220719_K562_3.C27.K562_s4U_0uM_180min,20220719_K562_3,37,Human,K562,0,3.0,,,,
20220719_K562_3.C28.K562_s4U_0uM_180min,20220719_K562_3,38,Human,K562,0,3.0,,,,
20220719_K562_3.C29.K562_s4U_0uM_180min,20220719_K562_3,39,Human,K562,0,3.0,,,,
20220719_K562_3.C30.K562_s4U_0uM_180min,20220719_K562_3,40,Human,K562,0,3.0,,,,
20220719_K562_3.C31.K562_s4U_0uM_180min,20220719_K562_3,41,Human,K562,0,3.0,,,,
20220719_K562_3.C32.K562_s4U_0uM_180min,20220719_K562_3,42,Human,K562,0,3.0,,,,
20220719_K562_3.C33.K562_s4U_0uM_180min,20220719_K562_3,44,Human,K562,0,3.0,,,,
20220719_K562_3.C34.K562_s4U_0uM_180min,20220719_K562_3,45,Human,K562,0,3.0,,,,
20220719_K562_3.C35.K562_s4U_0uM_180min,20220719_K562_3,46,Human,K562,0,3.0,,,,
20220719_K562_3.C36.K562_s4U_0uM_180min,20220719_K562_3,47,Human,K562,0,3.0,,,,
20220719_K562_3.C37.K562_s4U_0uM_180min,20220719_K562_3,48,Human,K562,0,3.0,,,,
20220719_K562_3.C38.K562_s4U_0uM_180min,20220719_K562_3,49,Human,K562,0,3.0,,,,
20220719_K562_3.C39.K562_s4U_0uM_180min,20220719_K562_3,54,Human,K562,0,3.0,,,,
20220719_K562_3.C40.K562_s4U_0uM_180min,20220719_K562_3,55,Human,K562,0,3.0,,,,
20220719_K562_3.C41.K562_s4U_0uM_180min,20220719_K562_3,56,Human,K562,0,3.0,,,,
20220719_K562_3.C42.K562_s4U_0uM_180min,20220719_K562_3,57,Human,K562,0,3.0,,,,
20220719_K562_3.C43.K562_s4U_0uM_180min,20220719_K562_3,58,Human,K562,0,3.0,,,,
20220719_K562_3.C44.K562_s4U_0uM_180min,20220719_K562_3,59,Human,K562,0,3.0,,,,
20220719_K562_3.C45.K562_s4U_0uM_180min,20220719_K562_3,61,Human,K562,0,3.0,,,,
20220719_K562_3.C46.K562_s4U_0uM_180min,20220719_K562_3,63,Human,K562,0,3.0,,,,
20220719_K562_3.C47.K562_s4U_0uM_180min,20220719_K562_3,64,Human,K562,0,3.0,,,,
20220719_K562_3.C48.K562_s4U_0uM_180min,20220719_K562_3,65,Human,K562,0,3.0,,,,
20220719_K562_3.C49.K562_s4U_0uM_180min,20220719_K562_3,66,Human,K562,0,3.0,,,,
20220719_K562_3.C50.K562_s4U_0uM_180min,20220719_K562_3,68,Human,K562,0,3.0,,,,
20220719_K562_3.C51.K562_s4U_0uM_180min,20220719_K562_3,69,Human,K562,0,3.0,,,,
20220719_K562_3.C52.K562_s4U_0uM_180min,20220719_K562_3,70,Human,K562,0,3.0,,,,
20220719_K562_3.C53.K562_s4U_0uM_180min,20220719_K562_3,71,Human,K562,0,3.0,,,,
20220719_K562_3.C54.K562_s4U_0uM_180min,20220719_K562_3,72,Human,K562,0,3.0,,,,
20220719_K562_3.C55.K562_s4U_0uM_180min,20220719_K562_3,73,Human,K562,0,3.0,,,,
20220719_K562_3.C56.K562_s4U_0uM_180min,20220719_K562_3,76,Human,K562,0,3.0,,,,
20220719_K562_3.C57.K562_s4U_0uM_180min,20220719_K562_3,80,Human,K562,0,3.0,,,,
20220719_K562_3.C58.K562_s4U_0uM_180min,20220719_K562_3,81,Human,K562,0,3.0,,,,
20220719_K562_4.C01.K562_s4U_50uM_180min,20220719_K562_4,6,Human,K562,50,3.0,,,,
20220719_K562_4.C02.K562_s4U_50uM_180min,20220719_K562_4,11,Human,K562,50,3.0,,,,
20220719_K562_4.C03.K562_s4U_50uM_180min,20220719_K562_4,12,Human,K562,50,3.0,,,,
20220719_K562_4.C04.K562_s4U_50uM_180min,20220719_K562_4,14,Human,K562,50,3.0,,,,
20220719_K562_4.C05.K562_s4U_50uM_180min,20220719_K562_4,16,Human,K562,50,3.0,,,,
20220719_K562_4.C06.K562_s4U_50uM_180min,20220719_K562_4,19,Human,K562,50,3.0,,,,
20220719_K562_4.C07.K562_s4U_50uM_180min,20220719_K562_4,23,Human,K562,50,3.0,,,,
20220719_K562_4.C08.K562_s4U_50uM_180min,20220719_K562_4,28,Human,K562,50,3.0,,,,
20220719_K562_4.C09.K562_s4U_50uM_180min,20220719_K562_4,30,Human,K562,50,3.0,,,,
20220719_K562_4.C10.K562_s4U_50uM_180min,20220719_K562_4,34,Human,K562,50,3.0,,,,
20220719_K562_4.C11.K562_s4U_50uM_180min,20220719_K562_4,35,Human,K562,50,3.0,,,,
20220719_K562_4.C12.K562_s4U_50uM_180min,20220719_K562_4,39,Human,K562,50,3.0,,,,
20220719_K562_4.C13.K562_s4U_50uM_180min,20220719_K562_4,40,Human,K562,50,3.0,,,,
20220719_K562_4.C14.K562_s4U_50uM_180min,20220719_K562_4,41,Human,K562,50,3.0,,,,
20220719_K562_4.C15.K562_s4U_50uM_180min,20220719_K562_4,42,Human,K562,50,3.0,,,,
20220719_K562_4.C16.K562_s4U_50uM_180min,20220719_K562_4,43,Human,K562,50,3.0,,,,
20220719_K562_4.C17.K562_s4U_50uM_180min,20220719_K562_4,44,Human,K562,50,3.0,,,,
20220719_K562_4.C18.K562_s4U_50uM_180min,20220719_K562_4,47,Human,K562,50,3.0,,,,
20220719_K562_4.C19.K562_s4U_50uM_180min,20220719_K562_4,49,Human,K562,50,3.0,,,,
20220719_K562_4.C20.K562_s4U_50uM_180min,20220719_K562_4,51,Human,K562,50,3.0,,,,
20220719_K562_4.C21.K562_s4U_50uM_180min,20220719_K562_4,52,Human,K562,50,3.0,,,,
20220719_K562_4.C22.K562_s4U_50uM_180min,20220719_K562_4,53,Human,K562,50,3.0,,,,
20220719_K562_4.C23.K562_s4U_50uM_180min,20220719_K562_4,54,Human,K562,50,3.0,,,,
20220719_K562_4.C24.K562_s4U_50uM_180min,20220719_K562_4,56,Human,K562,50,3.0,,,,
20220719_K562_4.C25.K562_s4U_50uM_180min,20220719_K562_4,57,Human,K562,50,3.0,,,,
20220719_K562_4.C26.K562_s4U_50uM_180min,20220719_K562_4,59,Human,K562,50,3.0,,,,
20220719_K562_4.C27.K562_s4U_50uM_180min,20220719_K562_4,61,Human,K562,50,3.0,,,,
20220719_K562_4.C28.K562_s4U_50uM_180min,20220719_K562_4,62,Human,K562,50,3.0,,,,
20220719_K562_4.C29.K562_s4U_50uM_180min,20220719_K562_4,63,Human,K562,50,3.0,,,,
20220719_K562_4.C30.K562_s4U_50uM_180min,20220719_K562_4,64,Human,K562,50,3.0,,,,
20220719_K562_4.C31.K562_s4U_50uM_180min,20220719_K562_4,67,Human,K562,50,3.0,,,,
20220719_K562_4.C32.K562_s4U_50uM_180min,20220719_K562_4,68,Human,K562,50,3.0,,,,
20220719_K562_4.C33.K562_s4U_50uM_180min,20220719_K562_4,69,Human,K562,50,3.0,,,,
20220719_K562_4.C34.K562_s4U_50uM_180min,20220719_K562_4,70,Human,K562,50,3.0,,,,
20220719_K562_4.C35.K562_s4U_50uM_180min,20220719_K562_4,71,Human,K562,50,3.0,,,,
20220719_K562_4.C36.K562_s4U_50uM_180min,20220719_K562_4,72,Human,K562,50,3.0,,,,
20220719_K562_4.C37.K562_s4U_50uM_180min,20220719_K562_4,73,Human,K562,50,3.0,,,,
