Sample,TotalReads,CellReads,CellRatio,TrimReads,TrimRatio,PolyAReads,PolyARatio,MappedReads,MappedRatio,FilteredReads,FilteredRatio,ClipFilteredReads,ClipFilteredRatio
SRR19279042_SCANseq2_UMI200,47419955,28084696,0.592254800747913,25957346,0.5473928855478669,21040777,0.44371145016902697,20178005,0.42551716887964147,15998769,0.3373847360251607,10653909,0.2246714278830505
SRR19279044_SCANseq2_UMI100,47209842,32608563,0.6907153597336759,29457274,0.623964680923948,23310764,0.493769159405363,22472770,0.4760187504969832,17984507,0.3809482565097337,13231386,0.2802675340451256
SRR19279045_SCANseq2_4CL,84610428,68262224,0.8067826344053005,67678625,0.7998851512723704,56844439,0.6718372704603267,54487074,0.6439758702083389,45167972,0.5338345765134292,41991055,0.4962869943170598
SRR19279047_SCANseq2_9CL,84801426,61465620,0.7248182359574944,60694021,0.7157193441534816,48516936,0.5721240583855276,46230451,0.5451612452837763,36456546,0.42990486976009107,32887799,0.387821296778665
